name,ingredients,ingredients_measurements,recipe,garnish,glass
abacaxi ricaco,"lime juice, pineapple, rum, white caster sugar","[['1 whole', 'Pineapple (fresh)'], ['9 cl', 'Havana Club 3 Year Old rum'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'White caster sugar']]","Cut the top off a small pineapple and carefully scoop out the flesh from the base to leave a shell with 12mm (½ inch) thick walls. Place the shell in a freezer to chill. Remove the hard core from the pineapple flesh and discard; roughly chop the remaining flesh, add other ingredients and BLEND with one 12oz scoop of crushed ice. Pour into the pineapple shell and serve with straws. (The flesh of one pineapple blended with the following ingredients will fill at least two shells).",Cut a straw sized hole in the top of the pineapple shell & replace it as a lid,Pineapple shell (frozen) glass
abbey,"angostura aromatic bitters, dry gin, lillet blanc, orange juice","[['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Lillet Blanc (or other aromatized wine)'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['2 dash', 'Angostura Aromatic Bitters']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Orange zest twist,Coupe glass
a.b.c. cocktail,"cognac, luxardo maraschino liqueur, mint leaves, sugar syrup, tawny port","[['7 fresh', 'Mint leaves'], ['3 cl', 'Tawny port'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","TEAR mint and place in shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",Lemon zest twist & Luxardo Maraschino cherry,Nick & Nora glass
absinthe cocktail,"absinthe, chilled water, sugar syrup","[['3 cl', 'La Fée Parisienne absinthe'], ['7.5 cl', 'Chilled water'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Mint leaf,Coupe glass
absinthe frappe,"absinthe, anisette liqueur, chilled water, sugar syrup","[['4.5 cl', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Anisette liqueur'], ['4.5 cl', 'Chilled water'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) and serve with straws.,Mint sprig,Old-fashioned glass
absinthe sour,"absinthe, lemon juice, pasteurised egg white, peychaud's or other creole-style bitters, sugar syrup","[['2.5 cl', 'La Fée Parisienne absinthe'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white'], ['2 dash', ""Peychaud's or other Creole-style bitters (optional)""]]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,Lemon zest twist & Luxardo Maraschino Cherry,Old-fashioned glass
absinthe suisesse,"absinthe, milk, orgeat syrup, pasteurised egg white, single cream / half-and-half","[['4.5 cl', 'La Fée Parisienne absinthe'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['3 cl', 'Pasteurised egg white'], ['1.5 cl', 'Milk (semi-skimmed/2% fat)'], ['1.5 cl', 'Single cream / half-and-half']]",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,Mint sprig,Old-fashioned glass
absinthe without leave,"absinthe, green banana liqueur, irish cream liqueur","[['2.25 cl', 'Pisang Ambon green banana liqueur'], ['2.25 cl', 'Irish cream liqueur'], ['1.5 cl', 'La Fée Parisienne absinthe']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,,Shot glass
absolutely fabulous,"brut champagne, cranberry juice, vodka","[['3 cl', 'Ketel One Vodka'], ['4.5 cl', 'Cranberry juice (sweetened)'], ['4.5 cl', 'Brut Champagne']]",SHAKE first two ingredients with ice and strain into glass. TOP with champagne.,Strawberry,Flute glass
acapulco,"grapefruit juice, pineapple juice, rum, sugar syrup, tequila","[['3 cl', 'Patrón Reposado tequila'], ['3 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'Grapefruit juice (pink)'], ['7.5 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Pineapple wedge,Collins glass
acapulco daiquiri,"lemon juice, light rum, lime cordial, pasteurised egg white, triple sec","[['4.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Lime cordial (sweetened lime juice)'], ['1.5 cl', 'Pasteurised egg white']]","DRY SHAKE (without ice) all ingredients to emulsify. Add ice, SHAKE again and fine strain into chilled glass.",Lime wedge,Coupe glass
ace,"dry gin, grenadine syrup, pasteurised egg white, single cream / half-and-half","[['5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Giffard Grenadine syrup'], ['3 cl', 'Single cream / half-and-half'], ['1.5 cl', 'Pasteurised egg white']]",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,Luxardo Maraschino cherry,Coupe glass
ace of clubs daiquiri,"dutch cacao white creme de cacao, lime juice, rum, sugar syrup","[['1.5 cl', 'Dutch Cacao white crème de cacao'], ['6 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Dust with chocolate powder,Martini glass
achilles heel,"apple juice, bison grass vodka, framboise de ronce, lemon juice, peachtree peach schnapps","[['6 cl', 'Bison grass vodka'], ['0.75 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['0.75 cl', 'Peachtree peach schnapps'], ['3 cl', 'Apple juice'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Apple slice,Collins glass
adam & eve,"angostura aromatic bitters, bourbon whiskey, galliano l'autentico liqueur, sugar syrup","[['6 cl', 'Bourbon whiskey'], ['1.5 cl', ""Galliano L'Autentico liqueur""], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['3 dash', 'Angostura Aromatic Bitters']]",SHAKE all ingredients with ice and strain into ice filled glass.,Lemon zest twist,Old-fashioned glass
adios,"coffee liqueur, tequila","[['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Patrón Reposado tequila']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,,Shot glass
adonis,"oloroso sherry, orange bitters, sweet vermouth","[['6 cl', 'Oloroso sherry'], ['3 cl', 'Martini Rosso sweet vermouth'], ['2 dash', 'Orange Bitters by Angostura']]",STIR all ingredients with ice and strain into chilled glass.,Orange zest twist,Coupe glass
affinity,"angostura aromatic bitters, martini extra dry vermouth, vermouth amaro, whisky","[['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Vermouth amaro'], ['3 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Angostura Aromatic Bitters']]",STIR all ingredients with ice and strain into chilled glass.,Lemon zest twist,Coupe glass
after eight,"dutch cacao white creme de cacao, peppermint pastille creme de menthe, vodka","[['1.5 cl', 'Ketel One Vodka'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1.5 cl', 'Giffard Peppermint Pastille crème de menthe']]",SHAKE all ingredients with ice and fine strain into chilled glass.,,Shot glass
after six shot,"coffee liqueur, creme de menthe, irish cream liqueur","[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Irish cream liqueur']]",Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the order shown here.,,Shot glass
afterburner,"coffee liqueur, creme de menthe, white overproof rum","[['3 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'White overproof rum'], ['3 cl', 'Coffee liqueur']]","POUR all ingredients into glass, swirl to mix, Flambé and then extinguish flame. Please take care and beware of hot glass rim.",,Snifter glass
aged honey daiquiri,"chilled water, honey syrup, lime juice, rum","[['6 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['1 cl', 'Chilled water (omit if using wet ice)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lime wedge on rim,Coupe glass
aggravation,"coffee liqueur, milk, single cream / half-and-half, sugar syrup, whisky","[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2.25 cl', 'Coffee liqueur'], ['2.25 cl', 'Single cream / half-and-half'], ['2.25 cl', 'Milk (semi-skimmed/2% fat)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and strain into ice-filled glass.,Dust with grated nutmeg,Old-fashioned glass
air mail,"brut champagne, honey syrup, lime juice, rum","[['3 cl', 'Havana Club 3 Year Old rum'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Honey syrup (3 honey to 1 water)'], ['4.5 cl', 'Brut Champagne']]",SHAKE first 3 ingredients with ice and strain into an ice-filled glass (preferably a column of ice). TOP with champagne.,Tip of a mint sprig or serve naked,Highball (max 10oz/300ml)
a.j.,"avallen calvados, grapefruit juice, sugar syrup","[['6 cl', 'Avallen Calvados'], ['6 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]",SHAKE all ingredients with ice and fine strain into chilled glass.,Dust with cinnamon powder,Coupe glass
