name,ingredients
abacaxi ricaco,"lime juice, pineapple, rum, white caster sugar"
abbey,"angostura aromatic bitters, dry gin, lillet blanc, orange juice"
a.b.c. cocktail,"cognac, luxardo maraschino liqueur, mint leaves, sugar syrup, tawny port"
absinthe cocktail,"absinthe, chilled water, sugar syrup"
absinthe frappe,"absinthe, anisette liqueur, chilled water, sugar syrup"
absinthe sour,"absinthe, lemon juice, pasteurised egg white, peychaud's or other creole-style bitters, sugar syrup"
absinthe suisesse,"absinthe, milk, orgeat syrup, pasteurised egg white, single cream / half-and-half"
absinthe without leave,"absinthe, green banana liqueur, irish cream liqueur"
absolutely fabulous,"brut champagne, cranberry juice, vodka"
acapulco,"grapefruit juice, pineapple juice, rum, sugar syrup, tequila"
acapulco daiquiri,"lemon juice, light rum, lime cordial, pasteurised egg white, triple sec"
ace,"dry gin, grenadine syrup, pasteurised egg white, single cream / half-and-half"
ace of clubs daiquiri,"dutch cacao white creme de cacao, lime juice, rum, sugar syrup"
achilles heel,"apple juice, bison grass vodka, framboise de ronce, lemon juice, peachtree peach schnapps"
adam & eve,"angostura aromatic bitters, bourbon whiskey, galliano l'autentico liqueur, sugar syrup"
adios,"coffee liqueur, tequila"
adonis,"oloroso sherry, orange bitters, sweet vermouth"
affinity,"angostura aromatic bitters, martini extra dry vermouth, vermouth amaro, whisky"
after eight,"dutch cacao white creme de cacao, peppermint pastille creme de menthe, vodka"
after six shot,"coffee liqueur, creme de menthe, irish cream liqueur"
afterburner,"coffee liqueur, creme de menthe, white overproof rum"
aged honey daiquiri,"chilled water, honey syrup, lime juice, rum"
aggravation,"coffee liqueur, milk, single cream / half-and-half, sugar syrup, whisky"
air mail,"brut champagne, honey syrup, lime juice, rum"
a.j.,"avallen calvados, grapefruit juice, sugar syrup"
alabama slammer (straight-up),"grenadine syrup, liqueur, orange juice, vodka"
alabama slammer,"disaronno amaretto, lemon juice, liqueur, orange juice, sloe gin"
alamagoozlum cocktail,"angostura aromatic bitters, chilled water, jamaican aged blended rum, old simon genever, orange curacao liqueur, pasteurised egg white, sugar syrup, yellow chartreuse liqueur"
alan's apple breeze,"apple juice, apricot brandy liqueur, cranberry juice, light rum, lime juice, sugar syrup"
alaska (savoy recipe),"chilled water, dry gin, yellow chartreuse liqueur"
alessandro,"black sambuca liqueur, dry gin, milk, single cream / half-and-half"
alexander,"dry gin, dutch cacao white creme de cacao, pasteurised egg white, single cream / half-and-half"
alexander the great,"coffee liqueur, dutch cacao white creme de cacao, single cream / half-and-half, vodka"
alexander's big brother,"blue curacao, dry gin, pasteurised egg white, single cream / half-and-half, sugar syrup, triple sec"
alexander's sister,"dry gin, pasteurised egg white, peppermint pastille creme de menthe, single cream / half-and-half, sugar syrup"
alexandra,"coffee liqueur, navy rum, pasteurised egg white, single cream / half-and-half"
alfonso,"angostura aromatic bitters, brut champagne, dubonnet red, white caster sugar"
algonquin,"martini bianco vermouth, peychaud's or other creole-style bitters, pineapple juice, straight rye whiskey"
alice from dallas,"coffee liqueur, orange liqueur, tequila"
alice in wonderland,"orange liqueur, tequila"
all fall down,"coffee liqueur, navy rum, tequila"
